0.518,0.5095541401273885,0.96,0.665742024965326,5.129678726196289 20 30
0.517,0.508994708994709,0.962,0.6657439446366783,5.443868637084961 30 30

0.524,0.5124223602484472,0.99,0.6753069577080492,5.342809677124023 50 10
0.545,0.523709167544784,0.994,0.6859903381642513,5.760248184204102 50 20
0.522,0.511578947368421,0.972,0.6703448275862067,5.813650131225586 50 30

0.495,0.49745676500508645,0.978,0.6594740391099123,5.38746452331543 100 10
0.518,0.5095137420718816,0.964,0.6666666666666666,5.6072845458984375 100 30
0.5,  0.5,               0.976,0.6612466124661247,6.180335998535156 200

